State,Full date enacted,Year enacted,Bill Number ,Type,Time frame,Link-Bill,Where enacted,Summary,Disclosure method,Penalties
Alabama,05/15/2024,2024,AL HB 172,Disclosure,90 days before,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:AL2024000H172&verid=AL2024000H172_20240515_0_E&,Ala. Code § 17-5-16.1 ,"Requires materially deceptive media intended to harm the reputation and electoral prospects of a candidate published within 90 days before an election to include a disclaimer stating that it has been manipulated. If it was generated from existing media, it must include a citation directing a viewer to the unedited version. ","""This media has been manipulated by technical means and depicts speech or conduct that did not occur.""","Civil  

A person may seek injunctive relief to prohibit the publication of the materially deceptive media.  If an injunctive relief request is frivolous, a defendant may be awarded with attorney costs and fees. A plaintiff may be awarded attorney costs and fees if they are awarded permanent injunctive relief. 

Criminal

 First violations are a Class A misdemeanor. Second violations within five years of the first are a Class D felony. "
Arizona,05/29/2024,2024,AZ S 1359,Disclosure,90 days before,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:AZ2024000S1359&verid=AZ2024000S1359_20240529_0_EF&,Ariz. Rev. Stat. Ann. §§ 1024 ,election communications; deepfakes; prohibition,A CLEAR AND CONSPICUOUS DISCLOSURE THAT CONVEYS TO A REASONABLE PERSON THAT THE MEDIA INCLUDES CONTENT GENERATED BY ARTIFICIAL INTELLIGENCE.,"Civil 

A person may seek preliminary and permanent declaratory relief. 
A person may be subject to a civil penalty for each day they distribute the media without a disclosure. "
California ,01/01/2024,2024,CA AB 2839,Disclosure,"120 days before, 60 days after",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2839,Cal. Election Code 20012,Updates CA law to 120 days before , “This ____ has been manipulated.”,"Civil   

A candidate, election official or viewer of the media may seek injunctive relief to prohibit the publication of the deceptive media.  
A candidate may seek general or special damages, including attorney's fees and costs.   "
Colorado,05/24/2024,2024,CO H 1147,Disclosure,90 days before ,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:CO2024000H1147&verid=CO2024000H1147_20240524_0_E&,"Colo. Rev. Stat. §§ 1-45-111.5, 1-46-102 et seq.  ","Concerns the use of a deepfake in a communication related to a candidate for elective office, and, in connection therewith, requiring disclosure, providing for enforcement, and creating a private cause of action for candidates.","Font size no smaller than the largest font. For audio, read in clear manner. The metadata of the communication includes the disclosure statement and the tool used to make it and date and time it was made ","Civil  

A candidate may seek injunctive relief to prohibit the publication of the deepfake. 
A candidate may seek action for compensatory and punitive damages, along with attorney fees. 
A civil penalty of at least 10% of the amount paid to advertise or promote the deepfake. 
A civil penalty of at least $100 per violation if there were no payments for advertising or promotion.  "
Delaware,10/09/2024,2024,DE H 316,Disclosure,90 before days,https://custom.statenet.com/public/resources.cgi?id=ID:bill:DE2023000H316&ciq=ncsl15&client_md=7d9cdcd9abfb679e0a6e3e926b4fc5e7&mode=current_text,"Del. Code Ann. tit. 15, § 5145   ",Requires synthetic media published within 90 days of an election to include a disclaimer stating that it was altered or artificially generated.  ," ""This (image/video/audio) has been altered or artificially generated.""

","	
Civil 

The prevailing party may be awarded attorneys’ fees and costs.  
A candidate may seek injunctive relief to prohibit the publication of the synthetic media.  
A candidate may seek damages.  
Criminal 

A violation is a class B misdemeanor.  
A violation is a class A misdemeanor if done with the intent to cause violence or bodily harm, or is a second violation within five years of another violation. "
Florida,02/09/2024,2024,FL HB 919,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:FL2024000S850&verid=FL2024000S850_20240209_0_S&,106.145 Fla. Stat ,"Defines the term generative artificial intelligence; requires that certain political advertisements, electioneering communications, or other miscellaneous advertisements include a specified disclaimer; provides for civil penalties; authorizes the filing of complaints regarding violations with the Florida Elections Commission.","""Created in whole or in part with the use of generative artificial intelligence (AI)."" 

","Criminal 

A person who fails to include the disclaimer is guilty of a misdemeanor of the first degree. "
Hawaii,07/03/2024,2024,HI S 2687,Disclosure,Start first working day of February in even-numbered years to the next general election,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:HI2023000S2687&verid=HI2023000S2687_20240703_0_E&,"Hawaii Rev. Stat. §§ 11-303, 11-304","Requires materially deceptive media intended to harm a candidate published between the first business day of February through the general election to include a disclosure stating the appearance, speech or conduct depicted in the media did not actually occur. ",,"Civil 

A person depicted may seek general and special damages. 
A person may seek injunctive relief to prohibit the publication of the materially deceptive media. 
A court may issue a restraining order. 
A civil fine may be imposed of $1,000 per day for violating a court order. "
Idaho,03/25/2024,2024,ID H 664,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:ID2024000H664&verid=ID2024000H664_20240325_0_EF&,Idaho Code 67-6628A,Requires synthetic media that deceptively represents a candidate to include a disclosure that the media has been manipulated. ,"""This (video/audio) has been manipulated"".

","Civil 

A candidate may seek injunctive relief to prohibit the publication of the synthetic media. 
A candidate may seek general or special damages, including attorney's fees and costs. "
Indiana,03/12/2024,2024,IN H 1133,Disclosure,None,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:IN2024000H1133&verid=IN2024000H1133_20240312_0_EF&,Ind. Code § 3-9-8 ,Requires fabricated media intended to injure a candidate or influence the outcome of an election to include a disclaimer that the media has been digitally altered or artificially generated. ,"""Elements of this media have been digitally altered or artificially generated."".","Civil 

A candidate may seek injunctive relief to prohibit the publication of the fabricated media. 
A candidate may seek actual damages including court costs and attorney's fees. "
Kentucky,03/24/2025,2025,KY SB 4,Disclosure,45 days before,https://custom.statenet.com/public/resources.cgi?mode=show_text&id=ID:bill:KY2025000S4&verid=KY2025000S4_20250324_0_EF&,,Requires synthetic media published within 45 days before an election that includes a candidate to include a disclosure that it contains synthetic media. ,,"Civil 

A candidate may seek injunctive relief to prohibit the publication of the synthetic media. 
A candidate may seek attorney’s fees and costs. "
